task,scenario,model,seed,f1_macro,mcc,n_test
T4cls,indist_jarvis2d,dummy,4,0.5268646408839779,0.05513521463747194,221
T4cls,indist_jarvis2d,logreg,4,0.7404988973852278,0.4967029956634533,221
T4cls,indist_jarvis2d,lgbm,4,0.8443223443223443,0.6947294964108143,221
T4cls,indist_jarvis2d,dummy,4,0.46581491712707185,-0.06732591536133509,221
T4cls,indist_jarvis2d,logreg,4,0.7658160781281325,0.5481061153270558,221
T4cls,indist_jarvis2d,lgbm,4,0.8700679383328978,0.7401358766657956,221
T4cls,indist_twodmatpedia,dummy,0,0.4953902791221695,-0.009169393253144137,1272
T4cls,indist_twodmatpedia,logreg,0,0.7247028268904205,0.481523309329898,1272
T4cls,indist_twodmatpedia,lgbm,0,0.841959891046369,0.6841582368946147,1272
T4cls,indist_twodmatpedia,dummy,0,0.5018408585532148,0.0037209002430853297,1271
T4cls,indist_twodmatpedia,logreg,0,0.7166421149471998,0.45715235891494005,1271
T4cls,indist_twodmatpedia,lgbm,0,0.8356793743890518,0.6713651770033079,1271
T4cls,indist_twodmatpedia,dummy,0,0.5041197749196141,0.008268631406967396,1269
T4cls,indist_twodmatpedia,logreg,0,0.7303298206505219,0.48841930502150915,1269
T4cls,indist_twodmatpedia,lgbm,0,0.844987206027954,0.6903046392079217,1269
T4cls,indist_twodmatpedia,dummy,0,0.5002134954624248,0.00045568993438907827,1270
T4cls,indist_twodmatpedia,logreg,0,0.7041564722292091,0.42714300576202646,1270
T4cls,indist_twodmatpedia,lgbm,0,0.8266741187480504,0.6544799922212027,1270
T4cls,indist_twodmatpedia,dummy,0,0.489951768488746,-0.02006865747732712,1269
T4cls,indist_twodmatpedia,logreg,0,0.7093545627638731,0.4576101826838875,1269
T4cls,indist_twodmatpedia,lgbm,0,0.8373758337657142,0.6751565717041322,1269
T4cls,indist_twodmatpedia,dummy,1,0.4977989993934031,-0.004363312079925703,1271
T4cls,indist_twodmatpedia,logreg,1,0.7216861296954158,0.4653091685944403,1271
T4cls,indist_twodmatpedia,lgbm,1,0.8402429451286466,0.6804875168072729,1271
T4cls,indist_twodmatpedia,dummy,1,0.511807088152641,0.023654619621731945,1270
T4cls,indist_twodmatpedia,logreg,1,0.716276188361581,0.4749483717486917,1270
T4cls,indist_twodmatpedia,lgbm,1,0.852873485098903,0.706819511724218,1270
T4cls,indist_twodmatpedia,dummy,1,0.49616664117467113,-0.007638383026088256,1270
T4cls,indist_twodmatpedia,logreg,1,0.7042738267239063,0.4451996339808667,1270
T4cls,indist_twodmatpedia,lgbm,1,0.8635735282932616,0.7273474767833391,1270
T4cls,indist_twodmatpedia,dummy,1,0.4921197868869175,-0.01573245598656559,1270
T4cls,indist_twodmatpedia,logreg,1,0.7143124608781186,0.45900211778376626,1270
T4cls,indist_twodmatpedia,lgbm,1,0.8429913684589103,0.68631175632448,1270
T4cls,indist_twodmatpedia,dummy,1,0.4794630443035406,-0.04103742219705583,1270
T4cls,indist_twodmatpedia,logreg,1,0.7154336488313695,0.4575567194453458,1270
T4cls,indist_twodmatpedia,lgbm,1,0.8352183033107714,0.6714816278163892,1270
T4cls,indist_twodmatpedia,dummy,2,0.47354784443453324,-0.0528685860179919,1271
T4cls,indist_twodmatpedia,logreg,2,0.723737498387341,0.47483298417541914,1271
T4cls,indist_twodmatpedia,lgbm,2,0.840925515464958,0.6827474665129892,1271
T4cls,indist_twodmatpedia,dummy,2,0.5159873656125555,0.03201564337362394,1271
T4cls,indist_twodmatpedia,logreg,2,0.7111396667848281,0.44018432701224414,1271
T4cls,indist_twodmatpedia,lgbm,2,0.8184339329165858,0.6370615383293974,1271
T4cls,indist_twodmatpedia,dummy,2,0.47758970359434494,-0.04478437369498087,1271
T4cls,indist_twodmatpedia,logreg,2,0.7177894123042381,0.47068569346510225,1271
T4cls,indist_twodmatpedia,lgbm,2,0.8430790455306143,0.6862922855027995,1271
