run_stamp,task,model,seed,repeat,fold,f1_macro,mcc,bal_acc,n_test
20260809-204550,T1,dummy_majority,3,0.0,1.0,0.3396226415094339,0.0,0.5,35.0
20260809-204550,T1,dummy_majority,3,0.0,0.0,0.3529411764705882,0.0,0.5,33.0
20260809-204550,T1,lgbm,2,2.0,4.0,0.6263736263736264,0.3333333333333333,0.6470588235294117,34.0
20260809-204550,T1,dummy_majority,3,2.0,4.0,0.3333333333333333,0.0,0.5,32.0
20260809-204550,T1,lgbm,2,2.0,2.0,0.7117117117117118,0.4365641250653994,0.7117647058823529,32.0
20260809-204550,T1,lgbm,2,2.0,1.0,0.3379310344827586,-0.3072117917126884,0.3509803921568627,32.0
20260809-204550,T1,lgbm,2,2.0,0.0,0.3796992481203007,-0.21437323142813605,0.39889705882352944,33.0
20260809-204550,T1,logreg,2,2.0,4.0,0.7235772357723578,0.5163977794943222,0.7352941176470589,34.0
20260809-204550,T1,logreg,2,2.0,3.0,0.6944444444444444,0.40987872061240227,0.7003676470588236,33.0
20260809-204550,T1,logreg,2,2.0,2.0,0.539313399778516,0.1905246652387925,0.5745098039215686,32.0
20260809-204550,T1,logreg,2,2.0,1.0,0.4231177094379639,-0.03008284187980934,0.4882352941176471,32.0
20260809-204550,T1,dummy_stratified,2,2.0,4.0,0.5228070175438597,0.06052275326688024,0.5294117647058824,34.0
20260809-204550,T1,dummy_stratified,3,2.0,0.0,0.4156570363466915,-0.14896350576708434,0.4283088235294118,33.0
20260809-204550,T1,lgbm,3,2.0,0.0,0.5416666666666666,0.20674627127277811,0.5845588235294118,33.0
20260809-204550,T1,dummy_stratified,3,2.0,2.0,0.5228070175438597,0.07978559231302818,0.5381944444444444,34.0
20260809-204550,T1,dummy_majority,4,2.0,0.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,lgbm,4,1.0,4.0,0.6964285714285714,0.44008622942335207,0.7058823529411764,34.0
20260809-204550,T1,lgbm,4,1.0,3.0,0.5441176470588236,0.09283444198266944,0.5458333333333334,31.0
20260809-204550,T1,lgbm,4,1.0,2.0,0.8745098039215686,0.7490196078431373,0.8745098039215686,32.0
20260809-204550,T1,lgbm,4,1.0,1.0,0.5018315018315018,0.10622957319984967,0.5451388888888888,34.0
20260809-204550,T1,lgbm,4,1.0,0.0,0.4045584045584045,-0.1519270924892103,0.43014705882352944,33.0
20260809-204550,T1,logreg,4,1.0,4.0,0.6421052631578947,0.3026137663344012,0.6470588235294117,34.0
20260809-204550,T1,logreg,4,1.0,3.0,0.6436781609195402,0.28870545602072445,0.64375,31.0
20260809-204550,T1,logreg,4,1.0,2.0,0.8095238095238095,0.6255774501577784,0.807843137254902,32.0
20260809-204550,T1,logreg,4,1.0,1.0,0.5492424242424242,0.2818647748881568,0.6076388888888888,34.0
20260809-204550,T1,logreg,4,1.0,0.0,0.3452380952380952,-0.2658228069708887,0.3860294117647059,33.0
20260809-204550,T1,dummy_stratified,4,1.0,4.0,0.4035087719298245,-0.18156825980064073,0.4117647058823529,34.0
20260809-204550,T1,dummy_stratified,4,1.0,3.0,0.4423280423280423,-0.09139076937674137,0.45625,31.0
20260809-204550,T1,dummy_stratified,4,1.0,2.0,0.4920634920634921,0.020601266687222692,0.5098039215686274,32.0
20260809-204550,T1,dummy_stratified,4,1.0,1.0,0.4035087719298245,-0.1668244202908771,0.4201388888888889,34.0
20260809-204550,T1,dummy_majority,4,2.0,1.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_stratified,4,1.0,0.0,0.5386766076421249,0.10312858091567377,0.5496323529411764,33.0
20260809-204550,T1,dummy_majority,4,2.0,2.0,0.3333333333333333,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,4,2.0,4.0,0.3333333333333333,0.0,0.5,34.0
20260809-204550,T1,lgbm,4,2.0,4.0,0.7017543859649122,0.4236592728681617,0.7058823529411764,34.0
20260809-204550,T1,lgbm,4,2.0,3.0,0.7017543859649122,0.408491223118783,0.7013888888888888,34.0
20260809-204550,T1,lgbm,4,2.0,2.0,0.6,0.2886751345948129,0.625,32.0
20260809-204550,T1,lgbm,4,2.0,1.0,0.4375,-0.12156862745098039,0.4392156862745098,32.0
20260809-204550,T1,lgbm,4,2.0,0.0,0.5901477832512315,0.21019754169815524,0.6019607843137255,32.0
20260809-204550,T1,logreg,4,2.0,4.0,0.6173160173160173,0.23570226039551584,0.6176470588235294,34.0
20260809-204550,T1,logreg,4,2.0,3.0,0.6173160173160173,0.24433144650348906,0.6215277777777778,34.0
20260809-204550,T1,logreg,4,2.0,2.0,0.4170040485829959,-0.13483997249264842,0.4375,32.0
20260809-204550,T1,logreg,4,2.0,1.0,0.2748768472906404,-0.44971201491459334,0.27647058823529413,32.0
20260809-204550,T1,logreg,4,2.0,0.0,0.7117117117117118,0.49819639048648384,0.7313725490196079,32.0
20260809-204550,T1,dummy_stratified,4,2.0,4.0,0.5228070175438597,0.06052275326688024,0.5294117647058824,34.0
20260809-204550,T1,dummy_stratified,4,2.0,3.0,0.5228070175438597,0.07978559231302818,0.5381944444444444,34.0
20260809-204550,T1,dummy_stratified,4,2.0,2.0,0.5555555555555556,0.12909944487358055,0.5625,32.0
20260809-204550,T1,dummy_stratified,4,2.0,1.0,0.3015873015873015,-0.374943053707453,0.3215686274509804,32.0
20260809-204550,T1,dummy_stratified,4,2.0,0.0,0.4285714285714286,-0.11124684011100254,0.44705882352941173,32.0
20260809-204550,T1,dummy_majority,4,2.0,3.0,0.3461538461538461,0.0,0.5,34.0
20260809-204550,T1,dummy_stratified,3,2.0,1.0,0.6391534391534391,0.3133397807202561,0.65,31.0
20260809-204550,T1,dummy_majority,4,1.0,4.0,0.3333333333333333,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,4,1.0,2.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,4,0.0,2.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,4,0.0,1.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,4,0.0,0.0,0.3333333333333333,0.0,0.5,32.0
20260809-204550,T1,lgbm,3,2.0,4.0,0.6862745098039216,0.3779644730092272,0.6875,32.0
20260809-204550,T1,lgbm,3,2.0,3.0,0.7048611111111112,0.4097222222222222,0.7048611111111112,34.0
20260809-204550,T1,lgbm,3,2.0,2.0,0.6357142857142857,0.29012942659282975,0.6388888888888888,34.0
20260809-204550,T1,lgbm,3,2.0,1.0,0.5161290322580645,0.03333333333333333,0.5166666666666666,31.0
20260809-204550,T1,logreg,2,1.0,1.0,0.6333333333333333,0.28578699785818873,0.6397058823529411,33.0
20260809-204550,T1,logreg,3,2.0,4.0,0.5835835835835836,0.19738550848793068,0.59375,32.0
20260809-204550,T1,logreg,3,2.0,3.0,0.7048611111111112,0.4097222222222222,0.7048611111111112,34.0
20260809-204550,T1,logreg,3,2.0,2.0,0.6458333333333333,0.3098898934004561,0.6527777777777778,34.0
20260809-204550,T1,logreg,3,2.0,1.0,0.6313513513513513,0.334876478559268,0.6520833333333333,31.0
20260809-204550,T1,logreg,3,2.0,0.0,0.5111111111111111,0.037603552349761676,0.5183823529411764,33.0
20260809-204550,T1,dummy_stratified,3,2.0,4.0,0.4920634920634921,0.0,0.5,32.0
20260809-204550,T1,dummy_stratified,3,2.0,3.0,0.5228070175438597,0.07978559231302818,0.5381944444444444,34.0
