formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous,Qmin_raw,bandwidth,_merge
MnZrI6,0.3333333333333333,0.3333333333333333,P312,0.0,0.0,NC,non_collinear,Q-based,P312|Mn-Zr,1MnZrI6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",3.073126068500187,both
MoOsCl6,0.1,0.1,C2,32.0,235.0,NC,non_collinear,Q-based,C2|Mo-Os,1MoOsCl6-1,False,,,left_only
,,,,,,,,,,1MoSe2-3,,"[0.5, 0.5, 0.0]",2.812732396119344,right_only
,,,,,,,,,,1NbO2-2,,"[0.05, 0.0, 0.0]",1.9019381576157457,right_only
,,,,,,,,,,1NbSTe-1,,"[0.047619047619047616, 0.047619047619047616, 0.0]",0.10685898273621319,right_only
,,,,,,,,,,1NbSe2-3,,"[0.0, 0.0, 0.0]",2.10663784681131,right_only
,,,,,,,,,,1NbSeTe-1,,"[0.047619047619047616, 0.047619047619047616, 0.0]",0.0684829063395398,right_only
,,,,,,,,,,1NbTe2-1,,"[0.0, 0.0, 0.0]",0.279076904785569,right_only
NiBr2,0.1,0.1,P-3m1,86.0,54.0,NC,non_collinear,Q-based,P-3m1|Ni,1NiBr2-1,False,"[0.09523809523809526, 0.09523809523809526, 0.0]",50.37095432997418,both
NiBr2,0.0,0.0,P-4m2,2.0,300.0,DM_SS,non_collinear,Table1,P-4m2|Ni,1NiBr2-2,False,"[0.0, 0.0, 0.0]",103.60343694145513,both
NiCl2,0.07,0.07,P-3m1,88.0,318.0,NC,non_collinear,Q-based,P-3m1|Ni,1NiCl2-1,False,"[0.07142857142857145, 0.07142857142857145, 0.0]",45.230752389990414,both
NiF2,0.0,0.0,P-3m1,8.0,274.0,FM,collinear,Q=Gamma,P-3m1|Ni,1NiF2-1,False,"[0.0, 0.0, 0.0]",12.487487838686917,both
Ga2NiS4,0.3333333333333333,0.3333333333333333,P-3m1,90.0,332.0,NC,non_collinear,Q-based,P-3m1|Ni,1NiGa2S4-1,True,"[0.3333333333333333, 0.3333333333333333, 0.0]",70.91249004934497,both
NiH2O2,0.3333333333333333,0.3333333333333333,P-3m1,0.0,0.0,NC,non_collinear,Q-based,P-3m1|Ni,1NiH2O2-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",15.259517922746824,both
NiI2,0.12,0.12,P-3m1,90.0,60.0,NC,non_collinear,Q-based,P-3m1|Ni,1NiI2-1,False,"[0.11904761904761907, 0.11904761904761907, 0.0]",67.0526585581559,both
NiI2,0.17,0.17,P-4m2,90.0,18.0,NC,non_collinear,Q-based,P-4m2|Ni,1NiI2-2,False,"[0.16666666666666669, 0.16666666666666669, 0.0]",39.75123510839751,both
NiPdF6,0.13,-0.13,C2/m,6.0,133.0,NC,non_collinear,Q-based,C2/m|Ni-Pd,1NiPdF6-1,False,,,left_only
NiTiBr3Cl3,0.0,0.0,P1,52.0,294.0,FM,collinear,Q=Gamma,P1|Ni-Ti,1NiTiBr3Cl3-1,False,,,left_only
NiZrBr6,0.0,0.0,P312,22.0,0.0,DM_SS,non_collinear,Table1,P312|Ni-Zr,1NiZrBr6-1,False,"[0.0, 0.0, 0.0]",3.057502071186491,both
NiZrCl6,0.0,0.0,P312,8.0,187.0,FM,collinear,Q=Gamma,P312|Ni-Zr,1NiZrCl6-1,False,"[0.0, 0.0, 0.0]",2.09209196139426,both
NiZrF6,0.0,0.0,P312,20.0,180.0,FM,collinear,Q=Gamma,P312|Ni-Zr,1NiZrF6-1,False,"[0.0, 0.0, 0.0]",0.16025417005494091,both
NiZrI6,0.0,0.0,P312,90.0,358.0,DM_SS,non_collinear,Table1,P312|Ni-Zr,1NiZrI6-1,False,"[0.0, 0.0, 0.0]",5.0740659456636195,both
VBr2O,0.5,0.5,Pmm2,0.0,0.0,AFM_collinear,collinear,Table2,Pmm2|V,1OVBr2-1,False,"[0.5, 0.5, 0.0]",20.998206584568635,both
VCl2O,0.5,0.5,Pmm2,0.0,0.0,AFM_collinear,collinear,Table2,Pmm2|V,1OVCl2-1,False,"[0.5, 0.5, 0.0]",29.263443331533523,both
VF2O,0.0,0.0,Pmm2,90.0,90.0,DM_SS,non_collinear,Table1,Pmm2|V,1OVF2-1,False,"[0.0, 0.0, 0.0]",9.774975812337772,both
VI2O,-0.31,-0.5,Pmm2,0.0,0.0,NC,non_collinear,Q-based,Pmm2|V,1OVI2-1,False,"[-0.3125, -0.5, 0.0]",7.631913044008343,both
PdBr2,0.12,0.12,P-3m1,90.0,240.0,NC,non_collinear,Q-based,P-3m1|Pd,1PdBr2-1,False,"[0.11904761904761907, 0.11904761904761907, 0.0]",65.93071456670607,both
PdCl2,0.1,0.1,P-3m1,10.0,325.0,NC,non_collinear,Q-based,P-3m1|Pd,1PdCl2-1,False,"[0.09523809523809526, 0.09523809523809526, 0.0]",66.27929104368135,both
PdZrBr6,0.02,0.02,P312,18.0,238.0,NC,non_collinear,Q-based,P312|Pd-Zr,1PdZrBr6-1,False,"[0.023809523809523836, 0.023809523809523836, 0.0]",2.8181228322310403,both
PdZrI6,0.0,0.0,P312,90.0,270.0,FM,collinear,Q=Gamma,P312|Pd-Zr,1PdZrI6-1,False,"[0.0, 0.0, 0.0]",8.16832105037335,both
PtCl2,0.1,0.1,P-3m1,90.0,240.0,NC,non_collinear,Q-based,P-3m1|Pt,1PtCl2-1,False,"[0.09523809523809526, 0.09523809523809526, 0.0]",64.35249804286691,both
,,,,,,,,,,1RbTiS2-1,,"[0.0, 0.0, 0.0]",0.9380286451161624,right_only
Ag2ReBr6,0.3333333333333333,0.3333333333333333,P-31m,86.0,190.0,NC,non_collinear,Q-based,P-31m|Ag-Re,1ReAg2Br6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",69.101129145686,both
Ag2ReCl6,0.3333333333333333,0.3333333333333333,P-31m,90.0,60.0,NC,non_collinear,Q-based,P-31m|Ag-Re,1ReAg2Cl6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",65.18285050601946,both
Ag2ReF6,0.3333333333333333,0.3333333333333333,P-3,90.0,38.0,NC,non_collinear,Q-based,P-3|Ag-Re,1ReAg2F6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",16.891223447913717,both
Ag2ReI6,0.3333333333333333,0.3333333333333333,P-31m,22.0,199.0,NC,non_collinear,Q-based,P-31m|Ag-Re,1ReAg2I6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",60.0968043394694,both
Au2ReF6,0.0,0.0,P1,10.0,35.0,DM_SS,non_collinear,Table1,P1|Au-Re,1ReAu2F6-1,False,"[0.0, 0.0, 0.0]",5.791870587600556,both
Cu2ReCl6,0.3333333333333333,0.3333333333333333,P-3,90.0,34.0,NC,non_collinear,Q-based,P-3|Cu-Re,1ReCu2Cl6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",54.32508003472236,both
Cu2ReF6,0.35,0.35,P-1,70.0,81.0,NC,non_collinear,Q-based,P-1|Cu-Re,1ReCu2F6-1,False,"[0.3520508569720763, 0.3520508569720763, 0.0]",6.958201109469542,both
Cu2ReI6,0.3333333333333333,0.3333333333333333,P-3,0.0,0.0,NC,non_collinear,Q-based,P-3|Cu-Re,1ReCu2I6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",46.81995985797016,both
