model,seed,rep,fold,f1_macro,mcc,bal_acc,cfg,sec,vram_mb
cgcnn,2,2,1,0.4285714285714286,-0.139459941117976,0.4313725490196078,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 64, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 16}",90.6,42.7
cgcnn,2,2,2,0.3913913913913914,-0.2101975416981552,0.3980392156862745,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.0, ""batch"": 16}",79.3,39.2
cgcnn,2,2,3,0.6046082949308755,0.2103335353157726,0.6047794117647058,"{""node_d"": 128, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.0, ""batch"": 32}",91.1,56.1
cgcnn,2,2,4,0.7058823529411765,0.4117647058823529,0.7058823529411765,"{""node_d"": 64, ""n_conv"": 3, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.1, ""batch"": 16}",293.2,42.3
cgcnn,3,0,0,0.6060606060606061,0.2222222222222222,0.6111111111111112,"{""node_d"": 32, ""n_conv"": 4, ""fc_d"": 128, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 16}",363.2,41.2
cgcnn,3,0,1,0.4217687074829931,0.0102673517272282,0.5032679738562091,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",369.0,61.9
cgcnn,3,0,2,0.3321428571428571,-0.3143473067309658,0.3529411764705882,"{""node_d"": 64, ""n_conv"": 4, ""fc_d"": 128, ""lr"": 0.001, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 32}",423.8,44.5
cgcnn,3,0,3,0.6451612903225806,0.2916666666666667,0.6458333333333333,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.001, ""weight_decay"": 0.0001, ""dropout"": 0.3, ""batch"": 32}",396.1,52.7
cgcnn,3,0,4,0.5921052631578947,0.2339548000893516,0.60625,"{""node_d"": 32, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 0.0, ""dropout"": 0.3, ""batch"": 32}",456.8,39.5
cgcnn,3,1,0,0.3882926829268293,-0.2046559502458076,0.4055555555555555,"{""node_d"": 32, ""n_conv"": 3, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",299.9,66.6
cgcnn,3,1,1,0.3327205882352941,-0.3345588235294117,0.3327205882352941,"{""node_d"": 128, ""n_conv"": 2, ""fc_d"": 32, ""lr"": 0.01, ""weight_decay"": 1e-05, ""dropout"": 0.3, ""batch"": 16}",323.4,61.0
cgcnn,3,1,2,0.5657894736842105,0.1489635057670843,0.5716911764705883,"{""node_d"": 64, ""n_conv"": 2, ""fc_d"": 128, ""lr"": 0.003, ""weight_decay"": 0.0, ""dropout"": 0.1, ""batch"": 16}",387.1,61.5
